District,SS,Toponym,Chrononym,Def,Context,Year,Comment,Latitude,Longitude,DISS
Шар,Ивановский,Рождественское,ВАРНАВА,"праздник, отмечаемый 24 июня","В Ивановском ВарнАва был двадцать четвертого июня, у них там и ключик есть.",2014 авг.,,,,
Шар,Конёвский,Подолиха,ВАРНАВА,"престольный праздник в честь св. Варнавы, отмечаемый в д. Подолиха 24 июня",24 иЮня у нас прАздник ВарнАва. ПровОдили прАздник и косИли потом.,2012 лето,,,,
Шар,Одоевский,Мишино,ВАРНАВА,"день святого Варнава Ветлужского, празднуемый 24 июня","До ВарнАва ещЁ сАдят, после ВарнАва ужЕ ничегО не сАдят.",2012 лето,,,,
Шар,Поляшовский,Серково,ВАРНАВА,"престольный праздник, отмечаемый 24 июня","Гуляли по три дня каждый праздник. // ДолбИлиха, ДеревЕнька, ВоробьИха, ИвАнчиха, ВоевОдиха, ЛукинО.",2014 авг.,,,,
Шар,Конёвский,Подолиха,ВАРНАВА,"престольный праздник в честь св. Варнавы, отмечаемый в д. Подолиха 24 июня",24 иЮня у нас прАздник ВарнАва. ПровОдили прАздник и косИли потом.,2012 лето,,,,
Шар,Ивановский,Плосково,ВАРНАВА,"праздник, отмечаемый в дд. Плосково, Глушиха, Рождественское 24 июля","24 июля ВарнАва, ходили на Ключ Варнавы. Купель сделана тамока. В Крешшение купались. Колодец сделан. Службу служили. На угорчике накачивали святой воды.",2014 авг.,,,,
Шар,Конёвский,Подолиха,ВАРНАВА,"день Св. Варнавы, отмечавшийся в б. д. Подолиха предположительно 22 июня","ПодОлиха, там прАздник был ВарнАва. После ВарнАвы день корОче станОвится срАзу.",2012 лето,,,,
Шар,Ивановский,Рождественское,ВАРНАВА,"престольный праздник в честь св. Варнавы в с. Рождественское, отмечаемый 24 июня","В РождЕственском-то есть прАздник ВарнАва, 24 или 25 июня. КлЮчик у них в честь ВарнАвы назывАется. С икОной ходИли. После ВарнАвы ничего не сАдят ‒ плодА не даЁт. После ВарнАвы начинАется сенокОс.",2012 лето,,,,
Шар,Поляшовский,Майтиха,ВАРНАВА,24 июня,ВарнАву в Майтихе гуляли.,2015 лето,,,,
Шар,Ивановский,Плосково,ВАРНАВА,"праздник, отмечаемый 24 июня в д. Плосково",ВарнАву гуляли в Плоскове.,2014 авг.,,,,
Шар,Ивановский,Плосково,ВАРНАВА,"24 июня, праздник в д. Ивановское","ВарнАва, ВарнАвин день, в Ивановском праздновали.",2014 авг.,ВАРНаВИН ДеНЬ,,,
Шар,Поляшовский,Воробьиха,ВАРНАВА,"престольный праздник в ряде деревень Полешовского с/с (Лукино, Воробьиха, Долгуша, Воеводиха) ‒ 24 июня","ВарнАва в чИслах бывает. Говорили, что до Варнавы всё можно сеять в огороде, а после уже нет: что посадишь, ничего не вырастет.",2014 авг.,,,,
Шар,Поляшовский,Лукино,ВАРНАВА,престольный праздник 24 марта,"Второй праздник ВарнАва. Это праздновали ВоробьИха, КривцОво, ЛукинО, ВоевОдиха, ДОлгуша.",2014 авг.,,,,
Шар,Поляшовский,Воробьиха,ВАРНАВА,"престольный праздник, отмечаемый 24 июня","В каждой деревне свой праздник, у нас в Воробьихе ВарнАву гуляли (24 июня), со всех деревень приходили, три дня гуляли.",2014 авг.,,,,
Шар,Ивановский,Плосково,ВАРНАВА,престольный праздник в д. Плосково (24 июня),"ВарнАва здесь, в Марутине ТИхонов день, Якимиха ‒ ПреображЕние, Бердиха ‒ ВладИмирская.",2014 авг.,,,,
Шар,Конёвский,Бердиха,ВАРНАВА,праздник в д. Бердиха 24 июня,"ВарнАва по святОму ВарнАве ВетлУжскому. На клЮчик ходИли, ВарнАвой тОже звАли ключ-от.",2012 лето,,,,
Шар,Ивановский,Плосково,ВАРНАВА,годовой праздник в д. Ивановское,"ВарнАва 24 июня, у нас праздник. А Тихонов день в Козионихе, 29 июня. У нас рассказывают, плыли Варнава и Тихон по реке. Где Варнава поставил весло, там стал бить ключик. Это наш Варнавинский ключик. Туда приходят, молятся.",2022 лето,,,,
Шар,Конёвский,Боярка,ВАРНАВА,"праздник, отмечаемый 24 июня (отмечали в дд. Боярка, Подолиха)","Мы с ПодОлихой вмЕсте отмечАли ВарнАву ‒ два дня у них, один день у нас.",2012 лето,,,,
Шар,Катунинский,Катунино,ВАРНАВА,24 июня,"За ВарнАвой ЗАговинье через неделю. В Катунине, Комухине, Косихе гуляли.",2015 лето,,,,
Мак,Шемятинский,Шемятино,ВАРНАВИЙ ДЕНЬ,"праздник, отмечаемый в д. Шемятино","Варнавий день ‒ это у них там, в Шемятине, празднуют, когда ‒ не знаю, у них там еще Онуфриев день есть.",2021 ноябрь,,,,
Шар,Ивановский,Плосково,ВАРНАВИН ДЕНЬ,"24 июня, праздник в д. Ивановское","ВарнАва, ВарнАвин день, в Ивановском праздновали.",2014 авг.,ВАРНаВА,,,
Мак,Шемятинский,Никулино,ВАРНАВЬЕВ ДЕНЬ,праздник (какой?) в д. Никулино,,2021 ноябрь,,,,
Мак,Шемятинский,Шемятино,ВАРНАВЬЕВ ДЕНЬ,"праздник, отмечаемый в д. Шемятино","ВарнАвьев ДеНь ‒ это в Шемятине, а про ШемЯтино я уж не знаю.",2021 ноябрь,,,,
Мак,Шемятинский,Федоровское,ВАРНАВЬЕВ ДЕНЬ,праздник,"Варнавьев день ‒ тоже обещанный праздник, он в жаркое время года когда-то был, день жаркий и страшный, пожары часто были, а Варнавий ‒ покровитель пожаров.",2021 ноябрь,,,,
Шар,Ивановский,Плосково,ВАРНАВЬЕВ ДЕНЬ,"24 июня, отмечали в д. Плосково",,2014 авг.,,,,
Шар,Конёвский,Подолиха,ВАРНАВЬЕВ ДЕНЬ,"летний престольный праздник в дд. Подолиха, Бердиха, Боярка","Был святОй ВарнАва ВетлУжский. ВарнАвин ‒ гОрод есть в ГОрьковской Области. У этого святОго кЕлья была, жил на ВетлУге. Там потом рЯдом тюрьмА была.",2012 лето,ВАРНаВА,,,
Шар,Конёвский,Подолиха,ВАРНАВЬЕВ ДЕНЬ,"летний престольный праздник в дд. Подолиха, Бердиха, Боярка","Был святОй ВарнАва ВетлУжский. ВарнАвин ‒ гОрод есть в ГОрьковской Области. У этого святОго кЕлья была, жил на ВетлУге. Там потом рЯдом тюрьмА была.",2012 лето,ВАРНаВА,,,
Вохом,Петрецовский,Плоская,ВАСИЛИЕ-КАПЕЛЬНИКИ,"день, отмечаемый 13 марта","ВасИлиё КапЕльники, онИ тЁплые, тринАдцатого мАрта, а нЫнче не кАпало.",2012 лето,,,,
Пав,Доброумовский,Доброумово,ВАСИЛИИ-КАПИЛЬНИКИ,праздник 13 марта,ВасИлии КапИльники ‒ с крыш кАпает.,2009 авг.,,,,
Вохом,Петрецовский,Петрецово,ВАСИЛИИ-КАПИЛЬНИКИ,день 13 марта,,2012 лето,,,,
Окт,Власовский,Высокое,ВАСИЛИИ-КАПИЛЬНИКИ,13 марта,Василии Капильники ‒ с крыш каплет.,2011 авг.,,,,
Окт,Сивцевский,Останино,ВАСИЛИИ-КАПИЛЬНИКИ,день в середине марта (точная дата -?),ВасИлиии КапИльники ‒ водА с крыш текОт.,2011 февраль,,,,
Шар,Конёвский,Подолиха,ВАСИЛИИ-ЗАКАПИЛЬНИКИ,15 марта,,2012 лето,,,,
Пав,Крутогорский,Шайменский,ВАСИЛИИ-КАПЕЛЬНИКИ,день св. Василия в марте,На ВасИлии-КапЕльники начинАет кАпать.,2009 авг.,,,,
Пав,Петропавловский,Кукшинга,ВАСИЛИИ-КАПЕЛЬНИКИ,"день св. Василия, 12 марта",,2009 авг.,,,,
Мак,Юровский,Большие Рымы,ВАСИЛИИ-КАПИЛЬНИКИ,"день в начале марта, когда начинается капель",На Василии-Капильники с крыш каплет.,2023 лето,,,,
Пав,Крутогорский,Шайменский,ВАСИЛИИ-КАПИЛЬНИКИ,день св. Василия в марте,ВасИлии-КапИльники в марте. Если закАпает ‒ теплО бУдет.,2009 авг.,,,,
Меж,Петушихский,Барановица,ВАСИЛИИ-КАПИЛЬНИКИ,15 марта,"Евдокия Зассыха, Василии Капильники -- каплет на улице.",2023 лето,,,,
Окт,Покровский,Катушенки,ВАСИЛИИ-КАПИЛЬНИКИ,день в марте (какой?),"ВасИлии-КапИльники четЫрнадцатого мАрта или какОго? ЕгОрьев день шестОго мАя. На лугАх ещё ничегО нет, хоть на верЁвке да повОдят скотИну.",2011 февраль,< б. д. Бережок,,,
Кадый,Столпинский,Столпино,ВАСИЛИЙ,день 28.02. (по ст. ст.),ВасИлий ‒ веснА зИму пересИлит.,2004 авг.,,,,
Мак,Княжевский,Макарьев,ВАСИЛИЙ ВЕЛИКИЙ,"ночь с 13 на 14 января, Старый новый год","«14 января Василий Великий. Пели: Ходит Илья на Василья, Носит пугу житяную. Куда ни махнёт - Там жито растёт. А в поле, поле сам плужок, А за тем плужком сам Господь ходил, Дева Мария кушать носила, Кушать носила, Бога просила: Зароди, Боже, жито, пшеницу, А в поле зерно, а в доме добро. Сею-сею, посеваю, С Новым годом поздравляю» (из святочной песни).",2022 лето,,,,
Шар,Конёвский,Кокуй,ВАСИЛИЙ-ЗАКАПЕЛЬНИК,15 марта,"На второй день ДУни ВасИлий ЗакапЕльник, с крыши капало.",2012 лето,,,,
Мак,Юровский,Юрово,ВАСИЛИЙ-КАПЕЛЬНИК,"день в марте, когда начинается капель",Евдокия в марте да Василий Капельник.,2022 лето,,,,
Мак,Усть-Нейский,Манылово,ВАСИЛИЙ-КАПЕЛЬНИК,день в начале марта,"Василий Капельник в начале Великого Говинья, с крыш капат.",2022 лето,,,,
Шар,Ивановский,Берзиха,ВАСИЛИЙ-КАПЕЛЬНИК,15 марта,"ОвдокИя ЗассИха, а на завтра ВасИлий КапЕльник.",2014 авг.,,,,
Пав,Доброумовский,Доброумово,ВАСИЛИЙ-КАПИЛЬНИК,день св. Василия в конце марта ‒ начале апреля,Если ВасИлий КапИльник рАно закАпает ‒ рАно пахАть начнУт.,2009 авг.,,,,
Вохом,Вохомский,Вохма,ВАСИЛИЙ-КАПИЛЬНИКИ,праздник 12 марта,"ВасИлий КапИльники, кАплет с крыш. В ВасИлий КапИльники если петух, говорят, напьётся, петУху много ли надо, капельку, в ЕгОрьев день баран наестся, значит трава бУдёт.",2011 февраль,,,,
Пав,Крутогорский,Шайменский,ВАСИЛИЙ-КАПЕЛЬНИК,день св. Василия 13 марта,,2009 авг.,,,,
Шар,Одоевский,Нежданово,ВАСИЛИЙ-КАПИЛЬНИК,15 марта,"ЕвдокИя, ВасИлий-КапИльник, ФедОт-КопотИл. Если все дни дружные, то и весна будет дружная.",2012 лето,"< Слепниха, Васил. с/с",,,
Пав,Петропавловский,Доровица,ВАСИЛИЙ-КАПИЛЬНИК,день св. Василия 23 февраля (8 марта),"ВасИлий ‒ КапИльник, а ОвдокИя ‒ ПлющИха.",2009 авг.,,,,
Окт,Соловецкий,Соловецкое,ВАСИЛИЙ-КАПИЛЬНИКИ,13 марта,"«ВасИлий КапИльники ‒ с крЫши начинАло кАпать. ВасИлий КапИльники тринАдцатого, ЕвдокИя ПлющИха четЫрнадцатого, ФедОты ПометАлы пятнАдцатого, Это уж в мАрте, три дня подрЯд. Если на ВасИлии КапИльники петУх напьЁтся ‒ на ЕгОрьев день барАн наЕстся. ПокАпает с крЫши ‒ веснА бУдет хорОшая.»",2011 авг.,,,,
Окт,Соловецкий,Соловецкое,ВАСИЛИЙ-КАПИЛЬНИКИ,13 марта,"«ВасИлий КапИльники ‒ с крЫши начинАло кАпать. ВасИлий КапИльники тринАдцатого, ЕвдокИя ПлющИха четЫрнадцатого, ФедОты ПометАлы пятнАдцатого, Это уж в мАрте, три дня подрЯд. Если на ВасИлии КапИльники петУх напьЁтся ‒ на ЕгОрьев день барАн наЕстся. ПокАпает с крЫши ‒ веснА бУдет хорОшая.»",2011 авг.,,,,
Окт,Соловецкий,Первая Клобуковская,ВАСИЛИЙ-КАПИЛЬНИКИ,весенний праздник в марте,"Если ВасИлий-КапИльники петухА накОрмит, так ЕгОрий барАна накОрмит.",2011 авг.,,,,
Вохом,Сосновский,Андрианово,ВАСИЛЬЕВ ВЕЧЕР,"вечер 13 января, когда гадали",Илию пели СвяткАми в Васильев вечер.,2012 лето,,,,
Окт,Покровский,Боговарово,ВАСИЛЬЕВ ВЕЧЕР,"праздник, канун Нового года (с 13 на 14 января)",С тринАдцатого на четЫрнадцатое бывАет ВасИльев вЕчер.,2011 февраль,,,,
Пав,Крутогорский,Шайменский,ВАСИЛЬЕВ ВЕЧЕР,"канун дня св. Василия, 13 января (н. ст.)",На ВасИльев вЕчер пЕли Илию.,2009 авг.,,,,
Пав,Доброумовский,Доброумово,ВАСИЛЬЕВ ВЕЧЕР,вечер накануне Старого нового года,"В Васильев Вечер пеклИ пирогИ, поминАли родИтелей.",2009 авг.,,,,
Окт,Покровский,Боговарово,ВАСИЛЬЕВ ВЕЧЕР,вечер с 31 декабря на 1 января,"На ВасИльев вЕчер всё приглашАли. ДЕлали, собирАли на стол и приглашАли родИтелей, пОмерли котОрые дак. На стол собИрали, вИлки-лОжки, помолЯтся БОгу, двЕри открОют: ""Ну, идИте родИтели, идИте, пообЕдайте с нАми!""",2011 февраль,,,,
Вохом,Заветлужский,Плешково,ВАСИЛЬЕВ ВЕЧЕР,"вечер 13 января, перед наступлением Старого Нового года; вечер Васильева Дня","В ВасИльев ВЕчер собиралася вся дервня в одну Избу и кладут: кто чего, только разное.",2012 лето,Ср. ВАСиЛЬЕВ ДеНЬ.,,,
Окт,Луптюгский,Луптюг,ВАСИЛЬЕВ ВЕЧЕР,вечер накануне Нового года,В ВасИльев вЕчер женихОв выглЯдывали. ЗЕркало постАвят и вОду. Он в зЕркале покАжется.,2011 авг.,,,,
Вохом,Семёновский,Спас,ВАСИЛЬЕВ ВЕЧЕР,вечер с 13 на 14 января,"Ворожить в ВасИльев ВЕчер бегали, только нечетное количество ворожить могли. // В Васильев вечер поминают родителей.",2011 авг.,,,,
Вохом,Тихоновский,Тихон,ВАСИЛЬЕВ ВЕЧЕР,вечер 13 января,"Самое сильное колдовство на ВасИльев вЕчер, это поминальный вечер, СтрашнОй.",2011 авг.,,,,
Вохом,Вохомский,Вохма,ВАСИЛЬЕВ ВЕЧЕР,13 января,"На новый старый год, тринадцатого, в ВасИльев вЕчер говорили, давайте Илию петь пойдём.",2011 февраль,< хутор Рябовский,,,
Вохом,Лапшинский,Ерусалим,ВАСИЛЬЕВ ВЕЧЕР,?,"В ВасИльев вЕчер ворожИли, на стол собирАли ‒ родИтелей поминАли. С ВасИльева-то вЕчера и начинАли гадАть.",2011 февраль,,,,
Вохом,Заветлужский,Марково,ВАСИЛЬЕВ ВЕЧЕР,13 января,"На ВасИльев ВЕчер Илею поЮт, тринАдцатое январЯ.",2012 лето,,,,
Вохом,Заветлужский,Марково,ВАСИЛЬЕВ ВЕЧЕР,праздник 13 января,"ХодИли Илию пить на ВасИльев вЕчер: пУговицы под платкОм брАли, покАзывали, комУ Эта пИсня достАнётся, томУ Илия сбУдётся. // На ВасИльев ВЕчер полЕно в сУтки стАвила однА старУшка, говорИла: ""Если устоИт, ещЁ год проживУ,"" ‒ Утром смотрЕла.",2012 лето,,,,
Вохом,Заветлужский,Кажирово,ВАСИЛЬЕВ ВЕЧЕР,праздник с 31.12. на 01.01.,"Тихонов День в Заветлужье, в Середней Заговенье, в Корелах Троица, а ВасИльев-от вЕчер везде есть. // ВасИльев вЕчер под самый Новый Год, в самый последний вечер старого года.",2012 лето,,,,
Вохом,Вохомский,Вохма,ВАСИЛЬЕВ ВЕЧЕР,"православный праздник, отмечаемый ночью с 13 на 14 января","Тринадцатого на четырнадцатое ВасИльев вЕчер. КулешмЕнили, дак СвЯтки называются. С четырнадцатого января ‒ Васильев вечер, девятнадцатого января бывает Крещение",2011 февраль,,,,
Вохом,Воробьевицкий,Лажборовица,ВАСИЛЬЕВ ВЕЧЕР,вечер 13 января,"ВасИльев ВЕчер быу, 13 января. // С ВасИльева ВЕчера до КрешшЭния СтрашнЫе ВечерА с 13 до 19, потом праздники заканчиваются.",2011 авг.,,,,
Вохом,Бельковский,Латышово,ВАСИЛЬЕВ ВЕЧЕР,"канун Старого Нового года 13 января, в который начинали петь илию (гадать)","Илею поют с тринадцатого числа, называется ВасИльев вЕчер, а четырнадцатого ишь Новый год, с этого ВасИльева вЕчера поют Илию.",2011 февраль,,,,
Вохом,Петрецовский,Никола,ВАСИЛЬЕВ ВЕЧЕР,"праздник, отмечаемый 13 января","Илеи, илеи, святЫе вечера, васИльевские вечера. // Рождество, ВасИльев вЕчер, а потом и КрещЕнье бУдёт. // Илию-то начинают петь с ВасИльева вЕчера, в ВАсильев вечер до Крещения.",2011 февраль,,,,
Окт,Луптюгский,Луптюг,ВАСИЛЬЕВ ВЕЧЕР,вечер накануне нового года,С ВасИльева вЕчера до КрешшЕнья кулешмЕнци-то бЕгали. На ростАни пойдЁшь ‒ кулешмЕнцей почУёшь.,2011 авг.,,,,
Вохом,Вохомский,Вохма,ВАСИЛЬЕВ ВЕЧЕР,праздник 13 января,"В ВасИльев ВЕчер посылали, ищи на полу зёрнышко, под стол вот лазили в избе. Если найдёшь зёрнышко, значит год неголодный будет.",2011 февраль,< Хорошая,,,
Вохом,Сосновский,Андрианово,ВАСИЛЬЕВ ВЕЧЕР,праздник 13 января,"А зимой там, вишь, РожествО, ВасИльев ВЕчер ‒ Новый Год по-старому так звали.",2012 лето,,,,
Вохом,Вохомский,Вохма,ВАСИЛЬЕВ ВЕЧЕР,13 января,"ШылЫкуны чертей называли. Ребят маленьких бабка пугала, сидите тихо, сегодня шылЫкуны бегают. Они таскают лошадиную шкуру и ребят, которые не слушают, уносят в лес. В ВасИльев вЕчер появляются. // На Рождество-то не гадают, на ВасИльев вЕчер гадают.",2011 февраль,< д. Луптюг,,,
Пав,Леденгский,Леденгск,ВАСИЛЬЕВ ВЕЧЕР,вечер 31 декабря,"А Илию поЮт в ВасИльев ВЕчер ‒ кАждый отдаЁт что-нибУдь с себЯ, начинАют петь ‒ достаЮт, и по пЕсне угАдывают, комУ что достАнется.",2009 авг.,,,,
Вохом,Бельковский,Латышово,ВАСИЛЬЕВ ВЕЧЕР,праздник 13 января,"СвяткИ, с ВасИльева вЕчера до Крещения.",2011 февраль,,,,
Вохом,Хорошевский,Хорошая,ВАСИЛЬЕВ ВЕЧЕР,13 января,"Крупа овсяная самодельная зАспой называли её, на большие праздники в ВасИльев вечер и в Пасху вот эту крупу овсяную заливали вот бульоном жирным суповым, оно подсолённое и ставили ещё в тИхую печь в глиняной посуде. Это когда протопится, угольки погаснут почти все, и там она утомится, эта каша может быть на День Рожденья сварена, на эту кашу родители ложили денежки имениннику, ребятам, мы эту кашу очень любили.",2012 лето,,,,
Окт,Покровский,Катушенки,ВАСИЛЬЕВ ВЕЧЕР,"канун Старого Нового года, 13 января по н. ст.","На ВасИльев вЕчер пЕли Илию. СначАла соберУт на стол, родИтелей помЯнут, а потОм блЮдо встрЯхивают. ТудА полОжат пУговицы, булАвки. ВстрЯхивают блЮдо, и комУ какАя пЕсенка достАнется.",2011 февраль,,,,
Окт,Покровский,Липово,ВАСИЛЬЕВ ВЕЧЕР,святочный вечер,"В ВасИльев вЕчер Илию поЮт, собирАются, лОжат в блЮдо кто колЕчко, кто чегО полОжит, а пЕсню споЮт, чью пЕсню споЮт, та и достАнется.",2011 авг.,,,,
Пав,Петропавловский,Шумково,ВАСИЛЬЕВ ВЕЧЕР,"праздник, отмечаемый в д. Шумково 13 января","ВасИльев ВЕчер ‒ Это СвяткАм, что ли четЫрнадцатого, или семнАдцатого январЯ, ворожИли ходИли.",2009 авг.,,,,
Окт,Луптюгский,Лебеди,ВАСИЛЬЕВ ВЕЧЕР,вечер 15 января,"В ВасИльев вЕчер гадАли, пЕсни гадАльные пЕли, в ночь с 15 на 16 январЯ.",2011 авг.,,,,
Окт,Покровский,Катушенки,ВАСИЛЬЕВ ВЕЧЕР,"вечер 13 января по н. ст., канун дня св. Василия","В ВасИльев вЕчер поминАем. СоберЁшь на стол, дверь открОешь. ""ИдИте, покОйнички, посидИте."" ЧАшки, лОжки на стол кладУт. А потОм провожАем, дверь открывАем. ПоклАняешься им и всё.",2011 февраль,< б. д. Бережок,,,
Шар,Ивановский,Берзиха,ВАСИЛЬЕВ ВЕЧЕР,вечер с 13 на 14 января,В Васильев вечер голову свиную разбирают и едят.,2022 лето,,,,
Пав,Петропавловский,Шумково,ВАСИЛЬЕВ ВЕЧЕР,вечер 14-го января,"Илию поЮт четЫрнадцатого январЯ, на ВасИльев вЕчер.",2009 авг.,,,,
Окт,Покровский,Андреево,ВАСИЛЬЕВ ВЕЧЕР,"канун Старого Нового года, 13 января","На ВасИльев вЕчер ходИли бЕгали по дерЕвне, Илию пЕли.",2011 февраль,,,,
Пав,Доброумовский,Шубот,ВАСИЛЬЕВ ВЕЧЕР,13 января по новому стилю,"На РожествО-то бЫли чудесА такИе, на ВасИльев ВЕчер, все говорИли, кулешмЕнцы Едут такИе наряжОнкам.",2009 авг.,,,,
Пав,Петропавловский,Берёзовка,ВАСИЛЬЕВ ВЕЧЕР,вечер 31 декабря (по старому стилю),"Илию пЕли в ВасИльев ВЕчер, гадАли на нОвый год, родИтелей поминАли.",2009 авг.,,,,
Окт,Покровский,Сосновка,ВАСИЛЬЕВ ВЕЧЕР,13 января,В ВасИльев ВЕчер родИтелей поминАли.,2011 авг.,,,,
Окт,Покровский,Филино,ВАСИЛЬЕВ ВЕЧЕР,вечер 13 января,"ТринАдцатого наканУне назывАлся ВасИльев вЕчер, поминАльный вЕчер. На стол собирАли угощЕнье рАзное, лОжки разлОжат. МАма говорИт: ""ПомолИтесь."" Вот всех и поминАем, а потОм сАми садИмся.",2011 февраль,,,,
Пав,Петропавловский,Берёзовка,ВАСИЛЬЕВ ВЕЧЕР,праздник 13 января (канун Старого Нового года),"ВасИльев ВЕчер назывАется, снаряжЁнки и хОдят.",2009 авг.,,,,
Вохом,Заветлужский,Плешково,ВАСИЛЬЕВ ДЕНЬ,"старый Новый год, 13 января","Илии-то пели на Новый Старый год, на ВасИльев День.",2012 лето,Ср. ВАСиЛЬЕВ ВеЧЕР.,,,
С-Слав,Судиславский,Болотово,ВАСИЛЬЕВ ДЕНЬ,"праздник, отмечаемый 15 августа в б. д. Болотовский Починок, д. Болотово, д. Климитино",.,2019 лето,ср. ЦеРКОВЬ ВАСиЛИЯ БЛАЖеННОГО (в топонимии).,,,
Пав,Павинский,Павино,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,святки,Уж как нЫнешни годА да СтрашнЫе ВечерА ВасИльевские.,2009 авг.,,,,
Пав,Шаймский,Шайма,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,неделя перед Старым Новым годом,"Собирались все в ВасИльевские ВечерА, перед Старым Новым годом. Собирались старухи, Ильи пели. Большие скопы народу были, старухи-то на переднем ряду сидели. В блюдо клали булавочки, серёжки, кто что. Старухи пели Ильи-то, молодёжь тянула. Кому какая песня досталась.",2009 авг.,,,,
Окт,Соловецкий,Соловецкое,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,святочные вечера,"Это тОлько когдА Илею пЕли, на ВасИльевские вечерА, где-то тут, недЕлю цЕлую гадАли, до КрещЕния, КрещЕние-то девятнАдцатого.",2011 авг.,,,,
Окт,Соловецкий,Соловецкое,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,святочные вечера,"Это тОлько когдА Илею пЕли, на ВасИльевские вечерА, где-то тут, недЕлю цЕлую гадАли, до КрещЕния, КрещЕние-то девятнАдцатого.",2011 авг.,,,,
Пав,Леденгский,Леденгск,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,период времени от Рождества до Нового года (?),"СтрашнЫе вечерА да Крещенские. Это вот с Нового года да с Рождества, а потом уж 19-го Крещенье было... СтрашнЫе-те вечерА перед Крещением. СтрашнЫе вечерА да васИльевские вечерА. СвятЫе вечерА ‒ это уже крещенское, уже последние. А сначала страшнЫе, хОдят страшнЫе вечерА. ВасИльевские ‒ то же самое.",2009 авг.,,,,
Пав,Петропавловский,Кукшинга,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,вечер перед Старым Новым годом с 13 на 14 января,"ВасИльевские вечерА страшнЫе, КрещЕнские вечерА святЫе.",2009 авг.,,,,
Пав,Петропавловский,Берёзовка,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,святочные вечера,ИлеЯ да Ешшо нЫнеча СтрашнЫе вечерА да ВасИльевские.,2009 авг.,,,,
Пав,Петропавловский,Первая Грязучая,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,время от Рождества до Крещенья,"СтрашнЫе вечерА, ВасИльевские.",2009 авг.,,,,
Пав,Павинский,Большой Завраг,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,Святки,"СтрашнЫе вечерА да ВасИльевские, Илию, Илию. Ой, комУ-то Эта пЕсенка достАнется, томУ сбУдется ‒ не минУется.",2009 авг.,,,,
Пав,Павинский,Шараниха,ВАСИЛЬЕВСКИЕ ВЕЧЕРА,несколько вечеров перед Новым годом,"ВасИльевские ВечерА, а после Нового Года ‒ были СтрашнЫе ВечерА.",2009 авг.,,,,
Пав,Леденгский,Леденгск,ВАСИЛЬЕВСКИЙ ВЕЧЕР,"канун Нового года по старому стилю, 13 января","Гадают на Новый год, Илию поют, собираются пожилые женщины, когда ВасИльевский вЕчер 13 января, на этот вечер поЮт Илию.",2009 авг.,,,,
Шар,Катунинский,Печенкино,ВАСИЛЬИ-ЗАКАПИЛЬНИКИ,Праздник 12 марта,"ВасИльи ЗакапИльники: ""О, вот покапал Василий немного, скоро весна будет"".",2013 лето,"< Костр. обл., Шарьин. р-н, Катунин. с/с, с. Печенкино",,,
Пав,Петропавловский,Доровица,ВАСИЛЬИ-КАПИЛЬНИКИ,13 марта,"На ВасИльи КапИльники закАпает, кУрица напьЁтся ‒ лЕто бУдет хорОшее.",2009 авг.,,,,
Шар,Конёвский,Подолиха,ВАСИЛЬИ-ЗАКАПИЛЬНИКИ,"день св. Василия, 15 марта",,2012 лето,,,,
Шар,Конёвский,Подолиха,ВАСИЛЬИ-ЗАКАПИЛЬНИКИ,"день св. Василия, 15 марта",,2012 лето,,,,
Окт,Покровский,Первая Ключевская,ВАСИЛЬИ-КАПИЛЬНИКИ,весенний день (какой?),ВасИльи-КапИльники напоит петуха ‒ ЕгОрий накормит барана. На проталинках травинки он может щипать.,2011 авг.,,,,
Вохом,Петрецовский,Сенькино,ВАСИЛЬНИКИ-КАПИЛЬНИКИ,15 марта,"ВасИльники-КапИльники бывАют, с крЫши покАплет ‒ в ЕгОрьев день петУх напьЁтся.",2012 лето,,,,
Парф,Ширский,Николо-Ширь,ВВЕДЕНИЕ,"престольный праздник в с. Николо-Ширь, отмечаемый 4 декабря",,2006 авг.,,,,
Парф,Аносовский,Аносово,ВВЕДЕНИЕ,"праздник, отмечаемый в д. Аносово 4 декабря","СемеОнов день, ВвЕдение отмечАли, пирогИ пеклИ, стУдень варИли, круговикИ с твОрогом и Ягодами пеклИ, бЕлый кисЕль дЕлали на молокЕ, крАсный ‒ с ягодами.",2006 авг.,,,,
Нерех,Владычневский,Владычное,ВВЕДЕНЬЕ,4 декабря,,2019 лето,,,,
Кадый,Екатеринкинский,Николаевский,ВВЕДЕНЬЕ,праздник Введение во храм Пресвятой Богородицы,"ВведеньЁ в декабрЕ прАздник, в НиколАевском егО отмечАли.",2004 авг.,,,,
Шар,Конёвский,Подолиха,ВВЕДЕНЬЕВ ДЕНЬ,"Введение Богородицы во храм, 4 декабря",Восстановлено (2 информанта на одной карточке).,2012 лето,,,,
